7600,7694,32,13.76
8338,8432,32,4.94
8154,8248,32,4.46
7880,7974,32,4.46
8691,8785,32,6.84
7414,7508,32,4.46
8596,8689,32,1.21
8596,8690,32,13.76
8156,8249,32,1.21
8156,8250,32,13.76
8694,8788,32,4.46
8522,8616,32,4.94
8695,8789,32,4.46
8217,8311,32,4.46
8611,8705,32,4.46
8704,8798,32,4.46
8157,8251,32,4.46
8609,8703,32,20.55
7879,7973,32,4.46
7971,8065,32,13.76
8064,8158,32,4.46
7972,8066,32,4.46
8699,8793,32,4.46
8597,8690,32,1.21
8430,8524,32,4.94
6555,6647,32,0.57
6562,6563,32,0.6
8429,8523,32,4.94
8501,8595,32,13.76
8698,8792,32,4.46
8518,8612,32,4.46
6827,6735,32,0.38
8155,8249,32,4.46
7321,7415,32,4.46
8692,8786,32,13.76
8406,8500,32,6.84
6736,6737,32,0.6
6648,6647,32,0.23
6828,6735,32,0.23
6556,6462,32,0.29
8613,8707,32,4.94
8219,8312,32,0.39
6943,6944,32,0.6
8218,8312,32,4.46
8693,8787,32,4.46
8607,8701,32,13.76
7132,7226,32,20.55
7132,7133,32,1.8
8708,8802,32,4.94
8696,8790,32,4.46
8606,8700,32,4.46
8031,7937,32,0.2
8697,8791,32,4.46
7974,8068,33,4.46
8250,8344,33,4.46
8432,8526,33,4.94
8790,8884,33,4.46
8788,8882,33,4.46
7508,7602,33,4.46
8690,8784,33,13.76
8787,8881,33,4.46
8251,8345,33,4.46
8703,8797,33,4.46
8065,8159,33,4.46
8158,8252,33,4.46
8066,8160,33,4.46
7973,8067,33,4.46
8616,8710,33,4.94
7040,7134,33,20.55
7040,7041,33,1.8
8786,8880,33,13.76
8789,8883,33,4.46
8791,8885,33,4.46
8705,8799,33,4.46
8311,8405,33,4.46
8792,8886,33,4.46
8709,8803,33,4.46
7133,7227,33,4.46
8689,8783,33,4.46
8524,8618,33,4.94
8793,8887,33,4.46
8795,8889,33,6.84
8523,8617,33,4.94
8248,8342,33,4.46
7657,7750,33,0.39
7415,7509,33,4.46
6657,6658,33,0.39
6464,6465,33,0.44
7786,7787,33,0.39
8525,8619,33,4.94
6555,6554,33,0.34
7601,7695,33,4.46
8501,8594,33,1.21
6942,6850,33,0.38
8796,8889,33,1.8
8796,8890,33,20.55
8796,8797,33,1.8
8700,8794,33,13.76
7194,7193,33,0.23
7378,7470,33,0.38
8406,8499,33,0.6
8312,8405,33,1.21
6845,6846,33,0.39
